application_number,pto_adjustment,pto_delay,applicant_delay,patent_term_extension
07978671,0,0,0,0
08334952,0,1793,0,1793
08335183,0,0,0,0
08336690,0,0,0,0
08336173,0,0,0,0
08336402,0,1768,0,1768
08336555,0,0,0,0
08337671,0,1369,0,1369
08338235,0,1712,0,1712
08339215,0,0,0,0
08338394,0,0,0,0
08338975,0,0,0,0
08340793,0,0,0,0
08340816,0,0,0,0
08342283,0,1492,0,1492
08342457,0,305,305,0
08342745,0,0,0,0
08347210,0,279,0,279
08343228,0,0,0,0
08344739,0,1472,0,1472
08345233,0,2157,0,2157
08345215,0,1992,0,1992
08345206,0,0,0,0
08345864,0,1246,0,1246
08346548,0,2189,2189,0
08361304,0,1159,0,1159
08347272,0,0,0,0
08347527,0,1229,0,1229
08351093,0,1459,0,1459
08348659,0,1333,0,1333
08343585,0,1387,0,1387
08348657,0,0,0,0
08350204,0,1248,0,1248
08349281,0,1310,0,1310
08349665,0,0,0,0
08349741,0,977,0,977
07949235,0,0,0,0
08349872,0,206,0,206
08351613,0,0,0,0
08351993,0,2119,0,2119
08352660,0,1409,0,1409
08352936,0,143,0,143
08353572,0,1852,0,1852
08353756,0,0,0,0
08353942,0,0,0,0
08355502,0,0,0,0
08354491,0,2301,2301,0
08354653,0,0,0,0
08357251,0,0,0,0
08355406,0,0,0,0
08355708,0,1271,0,1271
08355885,0,0,0,0
08357363,0,0,0,0
08358354,0,1336,0,1336
08358974,0,2077,0,2077
08359316,0,0,0,0
08359642,0,0,0,0
08359743,0,0,0,0
08359904,0,0,0,0
08360335,0,1376,0,1376
08356194,0,1319,0,1319
08361328,0,1493,0,1493
08362050,0,0,0,0
08362042,0,1410,0,1410
08362107,0,0,0,0
08362293,0,0,0,0
08362394,0,2448,0,2448
08363438,0,1009,0,1009
08362951,0,0,0,0
08363780,0,1616,0,1616
08363998,0,0,0,0
08364144,0,0,0,0
08364261,0,1166,0,1166
08364704,0,0,0,0
08366988,0,1058,0,1058
08367972,0,1126,0,1126
08367768,0,1891,0,1891
08368244,0,0,0,0
08368740,0,0,0,0
08313194,0,1360,0,1360
08368875,0,0,0,0
08369011,0,1851,0,1851
08369202,0,0,0,0
08369572,0,0,0,0
08369295,0,1778,0,1778
08369754,0,0,0,0
08369858,0,0,0,0
08369865,0,0,0,0
08370551,0,0,0,0
08371048,0,0,0,0
08372429,0,1288,0,1288
08372712,0,1608,0,1608
08373934,0,0,0,0
08372727,0,1620,0,1620
08373151,0,0,0,0
08373528,0,2053,0,2053
08374009,0,0,0,0
08375052,0,927,0,927
08374907,0,1474,0,1474
08375199,0,0,0,0
08377027,0,1805,1805,0
08376318,0,2096,0,2096
08376725,0,0,0,0
08376661,0,0,0,0
08377423,0,1645,0,1645
08373831,0,1968,0,1968
08378872,0,0,0,0
08377966,0,0,0,0
08378213,0,0,0,0
08379803,0,1981,0,1981
08379763,0,0,0,0
08347322,0,0,0,0
08380639,0,1212,0,1212
08380765,0,1552,0,1552
08381535,0,1467,0,1467
08382113,0,0,0,0
08379551,0,1457,0,1457
08382893,0,0,0,0
08383550,0,6030,6030,0
08384202,0,0,0,0
08384239,0,2024,0,2024
09390984,0,0,0,0
08385194,0,0,0,0
08386393,0,801,0,801
08387419,0,0,0,0
08387504,0,1220,0,1220
08388191,0,0,0,0
08392312,0,2453,2453,0
08388644,0,0,0,0
08388788,0,1623,0,1623
08388852,0,0,0,0
08389676,0,1220,0,1220
08391407,0,0,0,0
08390698,0,0,0,0
08390700,0,0,0,0
08390740,0,0,0,0
08391486,0,0,0,0
08391745,0,0,0,0
08391820,0,1786,0,1786
08395371,0,0,0,0
08392407,0,1532,0,1532
08392613,0,0,0,0
08393232,0,1741,0,1741
08393321,0,1313,0,1313
08394522,0,0,0,0
08393706,0,1619,0,1619
08394388,0,0,0,0
08394212,0,0,0,0
08393019,0,0,0,0
08393462,0,0,0,0
08394608,0,2027,0,2027
08394954,0,0,0,0
08395119,0,790,0,790
08395456,0,0,0,0
08395944,0,0,0,0
08396386,0,0,0,0
08396354,0,1892,0,1892
08396589,0,0,0,0
08396930,0,0,0,0
08397021,0,0,0,0
08397335,0,0,0,0
08397329,0,0,0,0
08397320,0,0,0,0
08394011,0,0,0,0
08400421,0,0,0,0
08398383,0,0,0,0
08398460,0,0,0,0
08399023,0,0,0,0
08399384,0,1425,0,1425
08406752,0,0,0,0
08400178,0,1971,0,1971
08302756,0,0,0,0
08399535,0,280,280,0
08399597,0,1356,0,1356
08399864,0,1093,0,1093
08399853,0,1643,0,1643
08400068,0,0,0,0
08400698,0,0,0,0
08401192,0,1025,0,1025
08401575,0,0,0,0
08402413,0,1905,0,1905
08402394,0,1321,1321,0
08402730,0,641,0,641
08402624,0,0,0,0
08402956,0,271,0,271
08403276,0,1441,0,1441
08403215,0,271,0,271
08404950,0,1420,0,1420
08403459,0,0,0,0
08404406,0,1802,1802,0
08404113,0,0,0,0
08404676,0,1907,0,1907
08405555,0,1647,0,1647
08405278,0,892,0,892
08405288,0,1537,0,1537
08405964,0,1220,0,1220
08406297,0,0,0,0
08406824,0,1268,0,1268
08407064,0,0,0,0
08407807,0,0,0,0
08407620,0,0,0,0
08408036,0,0,0,0
08408753,0,1462,0,1462
08409933,0,1448,0,1448
08409598,0,1379,0,1379
08410732,0,161,0,161
08411295,0,0,0,0
08411560,0,1432,0,1432
08411854,0,0,0,0
08412021,0,1929,0,1929
08412118,0,1014,0,1014
08412539,0,0,0,0
08412792,0,0,0,0
08413233,0,0,0,0
08413294,0,1067,0,1067
08413536,0,0,0,0
08413580,0,0,0,0
08413944,0,1066,0,1066
08414051,0,2033,0,2033
