application_number,parent_application_number,parent_filing_date,continuation_type
09367444,PCT/EP98/00840,1998-02-13,NST
09380096,PCT/GB98/00591,1998-02-25,NST
09367402,PCT/IL98/00011,1998-01-09,NST
09380097,PCT/GB98/00592,1998-02-25,NST
09380116,PCT/US98/27782,1998-12-29,NST
09380028,PCT/JP98/05713,1998-12-17,NST
09380551,PCT/KR99/00485,1998-12-29,NST
09380800,PCT/US98/04571,1998-03-06,NST
09380261,PCT/FR98/00363,1998-02-24,NST
09380597,PCT/BE97/00034,1997-03-14,NST
09380559,PCT/US97/04859,1997-03-25,NST
09184405,07963725,1992-10-20,REI
09380110,PCT/FR98/00378,1998-02-26,NST
09381432,PCT/US98/05580,1998-03-20,NST
09380993,PCT/GB98/00746,1998-03-12,NST
09194225,PCT/FR97/00909,1997-05-23,NST
09381475,PCT/ES97/00309,1997-12-22,NST
09381210,PCT/AU98/00177,1998-03-19,NST
09381356,PCT/EP97/01155,1997-03-07,NST
09380925,PCT/IE98/00023,1998-03-13,NST
09381482,PCT/DE98/00775,1998-03-16,NST
09381510,PCT/EP97/02117,1997-04-25,NST
09180963,PCT/US97/08444,1997-05-16,NST
09381824,PCT/CA98/00273,1998-03-23,NST
09381533,PCT/EP97/02113,1997-04-25,NST
09381499,PCT/US98/07460,1998-04-14,NST
09381514,PCT/EP97/02106,1997-04-25,NST
09381566,PCT/GB99/00039,1999-01-19,NST
09194037,PCT/IB97/00567,1997-05-16,NST
09180958,PCT/US97/08372,1997-05-16,NST
09381816,PCT/US98/05793,1998-03-20,NST
09402172,PCT/IB98/00444,1998-03-25,NST
09402082,PCT/DE99/00306,1999-01-29,NST
09402150,PCT/GB98/00969,1998-04-01,NST
09381935,PCT/US98/05814,1998-03-25,NST
09180957,PCT/US97/08314,1997-05-16,NST
09402197,PCT/GB98/00988,1998-04-03,NST
09402238,PCT/US98/06792,1998-04-06,NST
09402257,PCT/US99/02578,1999-02-05,NST
09402363,PCT/EP98/05879,1998-09-16,NST
09402804,PCT/EP98/02140,1998-04-03,NST
09403097,PCT/GB98/01131,1998-04-17,NST
09180915,PCT/US97/08438,1997-05-16,NST
09155588,PCT/CH97/00119,1997-03-21,NST
09402912,PCT/FR98/02911,1998-12-29,NST
09403052,PCT/US99/24030,1999-10-12,NST
09403136,PCT/US98/07360,1998-04-14,NST
09403435,PCT/EP98/02440,1998-04-24,NST
09180913,PCT/US97/08317,1997-05-16,NST
09403166,PCT/FR98/00749,1998-04-14,NST
09403576,PCT/EP99/06089,1999-08-16,NST
09402508,PCT/US97/17035,1997-09-23,NST
09155835,PCT/DE98/00312,1998-02-04,NST
09403578,PCT/EP99/02842,1999-04-23,NST
09171422,PCT/US97/08374,1997-04-17,NST
09171440,PCT/EP97/01957,1997-04-18,NST
09155384,PCT/US97/03910,1997-03-13,NST
09403188,PCT/US98/07883,1998-04-17,NST
09155778,PCT/US97/05616,1997-04-03,NST
09403793,PCT/GB98/01221,1998-04-24,NST
09403716,PCT/US98/27071,1998-12-18,NST
09147982,PCT/US97/16626,1997-09-19,NST
09403649,PCT/SE96/00516,1996-04-19,NST
09403873,PCT/US98/08551,1998-04-28,NST
09403970,PCT/US97/07082,1997-04-28,NST
09423194,PCT/JP98/02012,1998-05-06,NST
09423221,PCT/US99/04785,1999-03-04,NST
09423209,PCT/FR99/00483,1999-03-03,NST
09423222,PCT/US99/04175,1999-02-26,NST
09423362,PCT/AU98/00323,1998-05-05,NST
09423405,PCT/IE98/00035,1998-05-08,NST
09423537,PCT/EP99/02663,1999-04-20,NST
09423680,PCT/SE98/00770,1998-04-28,NST
09423918,PCT/AU98/00357,1998-05-18,NST
09403885,PCT/EP98/01827,1998-03-27,NST
09403924,PCT/EP98/02527,1998-04-29,NST
09147085,PCT/GB97/00707,1997-03-14,NST
09424002,PCT/US97/07935,1997-05-13,NST
