application_number,child_application_number,child_filing_date
04822311,05568930,1979-04-17
04818078,05316795,1972-12-20
04818078,05863368,1977-12-22
04818078,05863369,1977-12-22
04818078,05863374,1977-12-22
04818078,05863510,1977-12-22
04818078,05316794,1972-12-20
04818078,05316795,1972-12-20
04818078,06081423,1979-10-03
04818078,06299858,1981-09-08
04818078,05729180,1976-10-04
04818078,06079413,1979-09-27
04818078,06873613,1986-06-12
04818078,05729180,1976-10-04
04818078,06873613,1986-06-12
04823482,90001471,1988-03-15
04823482,90001661,1988-12-08
04806398,90001634,1988-11-03
04806398,90001707,1989-02-03
04827345,05951051,1978-10-12
04828307,90000316,1983-01-14
04827248,06016440,1979-03-01
04827248,90000779,1985-05-13
04827248,90000888,1985-10-18
04827248,06404772,1982-07-28
04827266,90000205,1982-05-25
04830687,05555333,1975-03-04
04831982,06839457,1986-03-11
04832985,06027516,1979-04-05
04833172,06254757,1981-04-16
04833740,05308856,1972-11-22
04833740,90000234,1982-07-30
04798351,90001424,1988-01-20
04835765,06238712,1981-02-26
04835765,06238395,1981-02-26
04781689,06068484,1979-08-20
04781689,90001584,1988-08-25
04837501,05424386,1973-12-13
04837979,06059396,1979-07-20
04794469,06528860,1983-09-02
04791807,06238712,1981-02-26
04790445,05593359,1975-07-07
04782756,05863368,1977-12-22
04782756,05863369,1977-12-22
04782756,05863374,1977-12-22
04782756,05863510,1977-12-22
04782756,05316794,1972-12-20
04782756,05316795,1972-12-20
04782756,06031707,1979-04-20
04782756,06081423,1979-10-03
04782756,06299858,1981-09-08
04782756,06079413,1979-09-27
04782756,05729180,1976-10-04
04782756,06873613,1986-06-12
04839436,06398605,1982-07-15
04839436,06494013,1983-05-12
04839436,06533914,1983-09-19
04838270,90000929,1985-12-31
04838270,90000829,1985-08-05
04841188,90000025,1981-07-13
04840815,06291919,1981-08-11
04845557,05936891,1978-08-25
04834028,06218879,1980-12-22
04771665,05871407,1978-01-23
04771665,05827833,1977-08-25
04847431,05619314,1975-10-03
04847807,05462698,1974-04-22
04848441,05807189,1977-06-16
04848620,05846629,1977-10-28
04848620,05893588,1978-04-05
04775381,06361815,1982-03-25
04851081,05966508,1978-12-04
04851416,05579751,1975-05-21
04851713,05579751,1975-05-21
04769722,05430642,1974-01-03
04769722,06086242,1979-10-18
04857424,90001008,1986-05-13
04767151,90000863,1985-09-17
04859020,05638767,1975-12-08
04857941,05472582,1974-05-22
04857941,06218457,1980-12-19
04855907,06256707,1981-08-10
04860139,06269599,1981-06-02
04860357,05940156,1978-09-05
04849014,05950017,1978-10-10
04849014,90002868,1992-10-29
04849014,05912421,1978-06-05
04849014,90002866,1992-10-29
04849014,90002869,1992-10-29
04849014,07576379,1990-08-31
04849014,08141200,1993-10-21
04861538,05819629,1977-07-27
04853430,90000060,1981-08-25
04861604,06111130,1980-01-10
04863766,05777806,1977-03-15
04852055,05488099,1974-07-12
04865472,05866576,1978-01-03
04849013,06921268,1986-10-21
04849013,06643883,1984-08-24
04849013,07376378,1989-07-07
04849013,90003066,1993-05-24
04849013,90003065,1993-05-24
04849013,07610822,1990-11-08
04849013,07628373,1990-12-17
04849013,07696747,1991-05-07
04849013,07930813,1992-08-14
04849013,90003519,1994-08-05
04849013,07849297,1992-03-10
04849013,07955515,1992-10-02
04849013,06706196,1985-02-27
04849013,06712410,1985-03-15
04849013,08472680,1995-06-07
04868772,05232448,1972-03-07
04845200,05367315,1973-06-06
04868129,07400517,1989-08-30
04869520,05229082,1972-02-24
04868893,05868927,1978-01-12
04868893,05868928,1978-01-12
04869250,06414017,1982-09-02
04869250,06880636,1986-06-27
04869250,07119118,1987-11-10
04869250,07584500,1990-09-17
04840347,06491552,1983-05-04
04871424,05228733,1972-02-23
04872370,05793299,1977-05-03
04871925,05895529,1978-04-11
04840114,05843776,1977-10-20
04839308,90000290,1982-11-16
04874760,06036376,1979-05-04
04875402,05896381,1978-04-14
04876999,05725821,1976-09-23
04876999,06177158,1980-08-11
04876999,06200108,1980-10-24
04876999,06381084,1982-05-24
04836660,06101596,1979-12-10
04836660,06101600,1979-12-10
04836660,06174086,1980-07-31
04881070,90000146,1982-01-26
04878954,05622550,1975-10-14
04878954,06269604,1981-06-02
04832870,05145958,1971-05-21
04828732,05887266,1978-03-16
04819412,90000280,1982-10-28
04819412,06277470,1981-06-25
04819412,90000279,1982-10-28
04819412,90000278,1982-10-28
04819412,05702367,1976-07-02
04819412,05836885,1977-09-26
04819412,05837957,1977-09-29
04819412,05903271,1978-05-05
04819412,05903366,1978-05-05
04819412,06279288,1981-06-25
04819412,06279279,1981-06-25
04819412,06469565,1983-02-23
04819412,06490357,1983-05-02
04819412,06469563,1983-02-23
04819412,06469564,1983-02-23
04819412,06587973,1984-03-09
04814885,06030340,1979-04-16
04881686,06277675,1981-06-29
04881686,06277082,1981-06-25
04881686,06277083,1981-06-25
04808638,05549021,1975-02-11
04808638,06768173,1985-08-22
04883113,06018571,1979-03-08
04882900,05341490,1973-03-15
04885853,90000597,1984-07-23
04889737,05552335,1975-02-24
04876770,05952002,1978-10-16
04880875,90000011,1981-07-01
05000390,06185872,1980-09-09
05001130,90000073,1981-09-18
05001554,90000668,1984-11-13
04879201,05691875,1976-06-01
04878535,06190375,1980-09-24
04877615,06137568,1980-04-07
05001722,06081275,1979-10-01
05001899,06044615,1979-06-01
05002017,06170433,1980-07-21
05002024,06147234,1980-05-06
05001991,06295289,1981-08-24
04872657,05871402,1978-01-23
05004563,05554456,1975-03-03
05005068,05896217,1978-04-13
05005352,05466051,1974-05-01
05005352,06041926,1979-05-24
05006026,06501277,1983-06-06
05005094,06533090,1983-09-19
05005094,06127341,1980-03-05
05005094,06127343,1980-03-05
05005094,06127344,1980-03-05
05005094,06551746,1983-11-14
05006030,06501277,1983-06-06
05008040,06046981,1979-10-01
05008040,06046980,1979-10-01
04867934,05713024,1976-08-09
04867934,06528860,1983-09-02
04867230,90000841,1985-08-22
04864842,90000785,1985-05-17
05008406,05307293,1972-11-16
05008406,05747563,1976-12-06
05008406,05849144,1977-11-07
05008406,05962828,1978-11-21
05008406,06079780,1979-09-27
05008699,05833194,1977-09-14
05009315,90000021,1981-07-09
05008813,06206369,1980-11-13
05009065,05676470,1976-04-13
05009065,05883128,1978-03-03
05009065,06053980,1979-07-02
05009065,06088845,1979-10-29
05009065,06158985,1980-06-12
05009065,06451965,1982-12-21
05009610,05254080,1972-05-17
05009763,06089166,1979-10-29
04865481,05948409,1978-10-04
04863253,06224162,1981-01-12
05009935,90000918,1985-12-06
05010061,06122015,1980-02-19
05010217,PCT/US06/18014,2006-05-09
05010421,06041996,1979-05-24
05011034,06141126,1980-04-17
05009987,05905027,1978-05-11
05012548,06076896,1979-09-19
05012798,06088571,1979-10-26
05012862,06068276,1979-08-20
05009756,06076169,1979-09-17
05013755,05900523,1978-04-27
05008070,05336120,1973-02-26
05008070,06529737,1983-09-08
05014280,05371647,1973-06-20
05014442,90000100,1981-11-04
05015016,06087133,1979-10-22
05014620,05973163,1978-12-26
05015341,06098781,1979-11-30
05015935,06168015,1980-07-14
05016145,05253865,1972-05-16
05016145,06584775,1984-02-29
05016278,06098928,1979-11-30
05016309,90000843,1985-08-23
05008071,05829964,1977-09-01
05002413,06248777,1981-03-30
05002413,06541845,1983-10-14
05002413,06678970,1984-12-06
05002413,07021384,1987-03-03
05005412,06084227,1979-10-12
05016868,05383020,1973-07-26
05016868,05532359,1974-12-13
05017423,05681153,1976-04-28
05017485,06034318,1979-04-30
05017559,06159894,1980-06-16
05017559,06854063,1986-04-17
05017086,90000005,1981-07-01
05017086,90000131,1981-12-23
05017086,06007946,1979-01-31
05017086,90000006,1981-07-01
05017086,90000132,1981-12-23
05019065,06113861,1980-02-05
05019078,06538492,1983-10-03
05019343,06089096,1979-10-29
05002774,90000314,1983-01-12
05019443,05765123,1977-02-03
05019443,05943195,1978-09-18
05019849,05908846,1978-05-23
05002851,06500886,1983-06-03
05002623,06041124,1979-05-21
05020759,06080445,1979-10-01
05001053,06165566,1980-07-03
05021196,06701530,1985-02-14
05020935,06077484,1979-09-20
05000749,06075374,1979-09-13
05000749,06075378,1979-09-13
05022364,05858060,1977-12-05
05023014,05827898,1977-08-26
05024151,05891338,1978-03-29
05024175,06057368,1979-07-13
05000316,05852783,1977-11-18
05000010,05915007,1978-06-13
05025562,05492249,1974-07-26
05025714,06044655,1979-06-01
05025917,06491722,1983-05-05
05026090,06336294,1981-12-31
05026090,06657051,1984-10-03
05026090,07058668,1987-05-26
05026358,05306886,1972-11-15
04885630,05859243,1977-12-09
05026145,90000483,1983-12-15
05027798,06162475,1980-06-24
05028247,05649253,1976-01-15
05028452,06065440,1979-08-10
05029022,05535402,1975-01-13
05028630,05922654,1978-07-07
05029447,06170961,1980-07-21
05029375,06373017,1982-04-29
05029375,07826631,1992-01-23
05030764,05702828,1976-07-06
05030582,05336857,1973-02-28
05030582,05827654,1977-08-25
05031057,05681124,1976-04-28
05030239,05754512,1976-12-27
05030239,06060961,1979-07-26
05030239,06376576,1982-05-10
05030239,06592726,1984-03-22
05030239,06767681,1985-08-16
05030239,08034024,1993-03-22
05030239,08252668,1994-06-02
05029822,05262108,1972-06-12
05022011,06554705,1983-11-23
05022011,06919124,1986-10-02
05025291,06049085,1979-06-18
05025153,06080745,1979-10-01
05025253,05475491,1974-06-03
05034209,05555333,1975-03-04
