application_number,pto_delay_a,pto_delay_b,pto_delay_c,overlap_pto_delay,nonoverlap_pto_delay,pto_manual_adjustment,applicant_delay,patent_term_adjustment
08533551,36,0,0,0,68,0,91,0
08534545,0,0,0,0,0,0,155,0
08501034,0,0,0,0,0,0,306,0
08535665,0,0,0,0,0,0,60,0
08536796,0,0,0,0,0,0,165,0
08539001,0,0,0,0,0,0,0,0
08539543,109,0,0,0,109,0,136,0
08507323,0,0,0,0,28,0,0,28
08540897,7,0,0,0,7,0,261,0
08541191,269,0,0,0,269,0,95,174
08542286,0,0,0,0,26,0,120,0
08542339,0,0,0,0,0,0,0,0
08543246,0,0,0,0,0,0,0,0
08543351,0,0,0,0,0,0,3,0
08543580,0,0,0,0,0,0,120,0
08543929,0,0,0,0,0,0,186,0
08544153,74,0,0,0,80,0,303,0
08533582,61,0,0,0,1254,0,151,1103
08544850,3,0,0,0,3,0,184,0
08545254,62,0,0,0,62,0,33,29
08545528,0,0,0,0,166,0,120,46
08500917,0,123,0,0,1208,0,61,1147
08546025,0,0,0,0,0,0,0,0
08546180,193,0,0,0,193,-15,178,0
08547201,0,0,0,0,0,0,61,0
08547471,42,0,0,0,42,0,61,0
08547263,154,0,0,0,154,1466,343,1277
08547797,72,0,0,0,72,0,184,0
08548545,0,0,0,0,0,0,21,0
08549359,0,0,0,0,0,0,76,0
08550521,0,0,0,0,0,0,0,0
08550808,333,0,0,0,333,0,380,0
08551988,60,0,0,0,60,0,142,0
08552582,206,0,0,0,206,0,176,30
08552648,0,0,0,0,0,0,158,0
08436258,0,0,0,0,0,0,177,0
08554182,0,0,0,0,0,0,61,0
08554260,49,0,0,0,49,0,274,0
08554424,617,0,0,0,617,0,213,404
08545717,0,0,0,0,0,0,84,0
08553125,0,0,0,0,0,0,70,0
08551850,0,0,0,0,0,0,197,0
08554779,0,0,0,0,5,0,120,0
08137056,0,0,0,0,0,0,0,0
08555064,0,0,0,0,0,0,114,0
08555147,0,0,0,0,0,0,149,0
08554939,0,0,0,0,0,0,84,0
08555816,0,0,0,0,0,0,0,0
08556422,0,0,0,0,0,0,266,0
08555941,0,0,0,0,0,0,124,0
08556317,0,0,0,0,235,0,1020,0
08556716,0,0,0,0,10,0,293,0
08555714,0,0,0,0,0,0,0,0
08557533,0,0,0,0,0,0,120,0
08557829,0,0,0,0,0,0,67,0
08559722,0,0,0,0,0,0,65,0
08558424,0,0,0,0,0,0,54,0
08558468,0,0,0,0,0,0,175,0
08558510,87,0,0,0,87,0,263,0
08558517,0,0,0,0,0,0,0,0
08560051,484,98,0,0,582,0,155,427
08560331,0,0,0,0,0,0,57,0
08561894,0,0,0,0,0,0,76,0
08562517,0,0,0,0,171,0,150,21
08563188,63,0,0,0,63,0,129,0
08563704,0,0,0,0,70,-30,55,0
08563703,0,0,0,0,0,0,69,0
08564574,0,0,0,0,0,0,242,0
08564634,0,0,0,0,0,0,0,0
08564942,0,0,0,0,0,0,5,0
08564976,0,0,0,0,100,0,223,0
08532549,34,382,0,0,416,0,463,0
08565943,72,0,0,0,72,0,200,0
