application_number,event_code,recorded_date
03626211,LOST,1999-03-29
03626211,TMOS,1999-02-09
03626211,SRCH,1999-01-11
03626211,LOST,1998-12-22
03626211,TMOS,1998-11-03
03626211,SRCH,1998-10-20
03626211,LOST,1998-10-08
03626211,SRCH,1998-10-07
03626211,LOST,1998-10-01
03626211,LOST,1998-09-30
03626211,LOST,1998-09-29
03626211,FOND,1998-05-19
03626211,SRCH,1998-05-12
03626211,LOST,1998-05-07
03626211,SRCH,1998-04-27
03626211,LOST,1998-04-16
03626211,SRCH,1998-04-14
03626211,LOST,1998-03-19
03626211,FOND,1997-08-15
03626211,LOST,1997-07-25
03626211,LOST,1997-07-25
03626211,SRCH,1997-07-16
03626211,LOST,1997-07-14
03626211,SRCH,1991-01-16
03626211,LOST,1991-01-02
03626211,SRCH,1990-07-05
03626211,LOST,1990-06-26
04219619,SETS,2001-09-20
03668348,SETS,2001-09-20
03668348,TMOS,2000-05-18
03668348,SRCH,2000-04-21
03668348,LFLOST,2000-03-30
03668348,LOST,2000-03-21
03668348,SRCH,1989-12-07
03668348,SRCH,1989-04-07
03668348,TMOS,1989-04-07
03668348,SRCH,1989-02-21
03668348,LOST,1989-02-08
03668348,TMOS,1988-08-23
03668348,SRCH,1988-07-13
03668348,LOST,1988-07-13
03668348,TMOS,1988-05-17
03668348,SRCH,1988-04-19
03668348,LOST,1988-04-12
03668348,TMOS,1988-04-04
03668348,SRCH,1988-03-28
03668348,SRCH,1988-03-15
03668348,LOST,1988-03-14
03668348,TMOS,1987-12-04
03668348,SRCH,1987-12-03
03668348,LOST,1987-11-20
03668348,SRCH,1987-11-05
03668348,LOST,1987-11-03
03668348,TMOS,1987-01-23
03668348,SRCH,1987-01-20
03668348,LOST,1987-01-20
03668348,SRCH,1987-01-09
03668348,LOST,1987-01-09
03668348,LOST,1987-01-06
03668348,SRCH,1986-12-17
03668348,LOST,1986-12-15
04217408,SETS,2001-09-20
04227527,LFFOUND,2007-06-11
04227527,LFLOST,2007-06-07
04227527,SETS,2001-09-20
04223360,WPIR,2002-01-17
04223360,FWDX,2002-01-17
04223360,SA..,2002-01-17
04182208,SETS,2001-09-20
04228384,LFFOUND,2016-08-26
04228384,SETS,2001-09-20
04228384,TMOS,1987-07-24
04228384,SRCH,1987-06-11
04228384,LOST,1987-06-11
04228384,TMOS,1986-05-01
04228384,SRCH,1986-05-01
04228384,TMOS,1986-04-17
04228384,SRCH,1986-03-10
04228384,LOST,1986-03-06
04215210,SETS,2001-09-20
04215210,TMOS,1999-07-06
04215210,SRCH,1999-06-07
04215210,LOST,1999-05-12
04215210,FOND,1996-05-07
04215210,SRCH,1996-04-12
04215210,LOST,1996-03-27
04232924,SETS,2001-09-20
04232924,MN/=.,1979-09-05
04232924,N/=.,1979-09-05
04246937,SETS,2001-09-20
03822973,SETS,2001-09-20
04251887,SETS,2001-09-20
03482412,LFLOST,2002-07-10
03482412,SETS,2001-09-20
03482412,TMOS,1995-08-04
03482412,SRCH,1995-07-11
03482412,LOST,1995-06-29
03482412,TMOS,1995-03-21
03482412,SRCH,1995-02-23
03482412,LOST,1995-02-14
03482412,TMOS,1992-02-28
03482412,SRCH,1992-01-29
03482412,LOST,1992-01-22
03482412,TMOS,1991-10-18
03482412,SRCH,1991-09-18
03482412,LOST,1991-09-11
03482412,SRCH,1991-03-07
03482412,LOST,1991-03-04
04200995,SETS,2001-09-20
04200995,N084,1979-09-07
04200995,MN/=.,1979-06-20
04200995,N/=.,1979-06-20
04274785,SETS,2001-09-20
04295519,SETS,2001-09-20
04304849,SETS,2001-09-20
